symbol,name,price,price_change,volume,market_cap,total_value,percentage_change,chart_link
bsi,CTCP Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam,45.70,0.40,"186,500","653,570","223,060,701","10,105",https://www.cophieu68.vn/chart/chart.php?id=bsi
bwe,CTCP Nước - Môi trường Bình Dương,45.75,0,"102,900","269,778","219,928,644","10,062",https://www.cophieu68.vn/chart/chart.php?id=bwe
sbt,CTCP Thành Thành Công - Biên Hòa,13.40,-0.10,"2,293,100","2,419,002","814,551,092","9,997",https://www.cophieu68.vn/chart/chart.php?id=sbt
bmp,CTCP Nhựa Bình Minh,118.60,-0.70,"94,000","228,404","81,259,014","9,694",https://www.cophieu68.vn/chart/chart.php?id=bmp
ctd,CTCP Xây dựng Coteccons,92.10,2.10,"1,499,700","1,138,146","103,633,261","9,321",https://www.cophieu68.vn/chart/chart.php?id=ctd
pvt,Tổng Công ty cổ phần Vận tải Dầu khí,26.10,0.35,"1,668,000","2,911,498","356,012,638","9,167",https://www.cophieu68.vn/chart/chart.php?id=pvt
hdg,CTCP Tập đoàn Hà Đô,27.55,0.55,"3,037,600","4,049,976","336,331,529","9,081",https://www.cophieu68.vn/chart/chart.php?id=hdg
dbc,CTCP Tập đoàn Dabaco Việt Nam,27.45,0.45,"7,085,800","6,752,915","334,669,145","9,036",https://www.cophieu68.vn/chart/chart.php?id=dbc
bhn,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Hà Nội,37.50,0,100,"1,957","231,800,000","8,693",https://www.cophieu68.vn/chart/chart.php?id=bhn
cmg,CTCP Tập đoàn Công nghệ CMC,45,-0.25,"811,200","1,309,002","211,387,619","8,621",https://www.cophieu68.vn/chart/chart.php?id=cmg
kos,CTCP KOSY,39.35,0.05,"376,100","340,187","216,481,335","8,508",https://www.cophieu68.vn/chart/chart.php?id=kos
hng,CTCP Nông nghiệp Quốc tế Hoàng Anh Gia Lai,7.10,-0.20,"3,441,300","3,680,964","1,108,553,895","7,982",https://www.cophieu68.vn/chart/chart.php?id=hng
szc,CTCP Sonadezi Châu Đức,42.85,-0.70,"4,293,500","1,622,302","179,985,863","7,838",https://www.cophieu68.vn/chart/chart.php?id=szc
pc1,CTCP Xây lắp Điện I,23.60,-0.20,"2,153,000","3,431,274","357,644,892","7,402",https://www.cophieu68.vn/chart/chart.php?id=pc1
scs,CTCP Dịch vụ Hàng hóa Sài Gòn,77.40,-0.30,"407,000","215,440","94,886,982","7,373",https://www.cophieu68.vn/chart/chart.php?id=scs
tms,CTCP Transimex,42.40,-0.10,100,"5,038","169,349,465","7,197",https://www.cophieu68.vn/chart/chart.php?id=tms
phr,CTCP Cao su Phước Hòa,54.40,1.60,"620,100","324,353","135,499,198","7,154",https://www.cophieu68.vn/chart/chart.php?id=phr
baf,Công ty Cổ phần Nông nghiệp BaF Việt Nam,29.20,0.30,"4,176,400","3,510,091","239,021,642","6,908",https://www.cophieu68.vn/chart/chart.php?id=baf
vix,CTCP Chứng khoán VIX,10.15,0.10,"25,225,600","21,331,811","1,458,513,173","6,728",https://www.cophieu68.vn/chart/chart.php?id=vix
hah,CTCP Vận tải và Xếp dỡ Hải An,54,-0.20,"2,298,400","3,125,738","121,343,091","6,577",https://www.cophieu68.vn/chart/chart.php?id=hah
dgw,CTCP Thế Giới Số,37.85,0.10,"1,360,400","1,690,331","219,391,776","6,313",https://www.cophieu68.vn/chart/chart.php?id=dgw
nt2,CTCP Điện lực Dầu khí Nhơn Trạch 2,21.10,-0.20,"595,400","589,496","287,876,029","6,132",https://www.cophieu68.vn/chart/chart.php?id=nt2
pan,CTCP Tập đoàn Pan,27.05,-0.45,"1,391,500","1,485,468","216,294,580","5,948",https://www.cophieu68.vn/chart/chart.php?id=pan
tdm,CTCP Nước Thủ Dầu Một,52,0,0,"32,778","110,000,000","5,720",https://www.cophieu68.vn/chart/chart.php?id=tdm
dbd,CTCP Dược - Trang thiết bị Y tế Bình Định,59.80,-0.20,"278,100","223,976","93,593,847","5,616",https://www.cophieu68.vn/chart/chart.php?id=dbd
vcf,CTCP Vinacafé Biên Hòa,210.90,-0.20,600,857,"26,579,135","5,611",https://www.cophieu68.vn/chart/chart.php?id=vcf
ijc,CTCP Phát triển Hạ tầng Kỹ thuật,14.50,-0.10,"2,032,300","2,688,869","377,748,384","5,515",https://www.cophieu68.vn/chart/chart.php?id=ijc
bcg,CTCP Bamboo Capital,5.96,-0.12,"18,066,800","6,911,222","880,210,644","5,352",https://www.cophieu68.vn/chart/chart.php?id=bcg
cts,CTCP Chứng khoán Ngân hàng Công thương Việt Nam,34.55,0.20,"979,800","1,492,826","148,738,311","5,109",https://www.cophieu68.vn/chart/chart.php?id=cts
csv,CTCP Hóa chất Cơ bản Miền Nam,45.70,-0.30,"1,811,900","1,552,003","110,499,910","5,083",https://www.cophieu68.vn/chart/chart.php?id=csv
chp,CTCP Thủy điện Miền Trung,35.80,1.60,"81,500","21,339","146,912,668","5,024",https://www.cophieu68.vn/chart/chart.php?id=chp
vsc,CTCP Container Việt Nam,18.50,-0.05,"3,056,300","4,049,836","286,796,819","4,949",https://www.cophieu68.vn/chart/chart.php?id=vsc
ors,CTCP Chứng khoán Tiên Phong,14.65,0.05,"11,361,400","4,205,426","335,999,743","4,906",https://www.cophieu68.vn/chart/chart.php?id=ors
tlg,CTCP Tập đoàn Thiên Long,61.40,-0.50,"125,600","204,297","86,453,898","4,865",https://www.cophieu68.vn/chart/chart.php?id=tlg
ht1,CTCP Xi măng Hà Tiên 1,12.60,-0.10,"1,178,100","425,297","381,541,911","4,845",https://www.cophieu68.vn/chart/chart.php?id=ht1
tmp,CTCP Thủy điện Thác Mơ,67,0,0,"1,879","70,000,000","4,690",https://www.cophieu68.vn/chart/chart.php?id=tmp
cii,CTCP Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,14.25,0,"4,626,000","4,674,337","319,752,413","4,543",https://www.cophieu68.vn/chart/chart.php?id=cii
vds,CTCP Chứng khoán Rồng Việt,18.40,0.20,"1,188,000","1,673,770","243,000,000","4,423",https://www.cophieu68.vn/chart/chart.php?id=vds
geg,CTCP Điện Gia Lai,12.70,0,"704,700","726,329","358,308,371","4,334",https://www.cophieu68.vn/chart/chart.php?id=geg
bic,Tổng Công ty cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,36.50,-0.20,"42,200","72,044","117,276,895","4,304",https://www.cophieu68.vn/chart/chart.php?id=bic
pdn,CTCP Cảng Đồng Nai,113,0,"4,000","1,375","37,043,908","4,186",https://www.cophieu68.vn/chart/chart.php?id=pdn
