symbol,name,price,price_change,volume,market_cap,total_value,percentage_change,chart_link
sha,CTCP Sơn Hà Sài Gòn,4.20,0,"5,000","12,499","33,446,675",140,https://www.cophieu68.vn/chart/chart.php?id=sha
lm8,CTCP Lilama 18,14,-0.10,700,"1,809","9,388,682",132,https://www.cophieu68.vn/chart/chart.php?id=lm8
tni,CTCP Tập đoàn Thành Nam,2.30,0.01,"73,700","150,566","52,500,000",120,https://www.cophieu68.vn/chart/chart.php?id=tni
htv,CTCP Vận tải Hà Tiên,9.57,0.43,"2,400","3,818","13,104,000",120,https://www.cophieu68.vn/chart/chart.php?id=htv
vtb,CTCP Viettronics Tân Bình,10,0,"6,800","4,659","11,982,050",109,https://www.cophieu68.vn/chart/chart.php?id=vtb
kpf,CTCP Đầu tư Tài chính Hoàng Minh,1.77,0.01,"56,500","203,459","60,867,241",107,https://www.cophieu68.vn/chart/chart.php?id=kpf
hvx,CTCP Xi măng VICEM Hải Vân,2.63,0.06,"3,000","18,410","41,525,250",107,https://www.cophieu68.vn/chart/chart.php?id=hvx
gta,CTCP Chế biến gỗ Thuận An,10.35,0.05,"1,100","8,274","10,400,000",101,https://www.cophieu68.vn/chart/chart.php?id=gta
svd,Công ty Cổ phần Đầu tư và Thương mại Vũ Đăng,3.27,0.02,"10,500","58,013","27,605,908",90,https://www.cophieu68.vn/chart/chart.php?id=svd
pit,CTCP Xuất nhập khẩu Petrolimex,5.30,-0.15,"3,700","6,853","14,210,225",72,https://www.cophieu68.vn/chart/chart.php?id=pit
tdg,CTCP Dầu khí Thái Dương,3.61,-0.10,"30,100","90,130","23,243,006",72,https://www.cophieu68.vn/chart/chart.php?id=tdg
rdp,CTCP Rạng Đông Holding,1.31,0,0,"512,159","49,069,803",64,https://www.cophieu68.vn/chart/chart.php?id=rdp
has,CTCP Hacisco,7.90,0,0,"1,366","8,000,000",63,https://www.cophieu68.vn/chart/chart.php?id=has
dta,CTCP Đệ Tam,3.47,0.03,"33,500","23,056","18,059,832",62,https://www.cophieu68.vn/chart/chart.php?id=dta
pxi,CTCP Xây dựng Công nghiệp và Dân dụng Dầu khí,2,0,"116,200","82,777","30,000,000",60,https://www.cophieu68.vn/chart/chart.php?id=pxi
aam,CTCP Thủy sản MeKong,7.26,0.26,600,"6,995","10,446,411",60,https://www.cophieu68.vn/chart/chart.php?id=aam
hu1,CTCP Đầu tư và Xây dựng HUD1,6.24,0.31,"1,800","3,108","10,000,000",59,https://www.cophieu68.vn/chart/chart.php?id=hu1
agm,CTCP Xuất nhập khẩu An Giang,2.90,0.06,"109,500","199,540","18,200,000",52,https://www.cophieu68.vn/chart/chart.php?id=agm
ftm,CTCP Đầu tư và Phát triển Đức Quân,0.90,0,0,"60,154","50,000,000",45,https://www.cophieu68.vn/chart/chart.php?id=ftm
dxv,CTCP VICEM Vật liệu Xây dựng Đà Nẵng,3.88,-0.27,"1,000","27,082","9,900,000",41,https://www.cophieu68.vn/chart/chart.php?id=dxv
lcm,CTCP Khai thác và Chế biến khoáng sản Lào Cai,1.30,0.10,"98,400","123,686","24,633,000",30,https://www.cophieu68.vn/chart/chart.php?id=lcm
