Ticker,Date,Broker,Suggestion,Price
btp,06/09/2024,SADIF,Bán,11.11
dsn,03/02/2025,SADIF,Mua,61.19
acl,09/09/2024,SADIF,Giữ,12.04
sav,02/05/2024,FTS,Giữ,14.09
smc,07/03/2024,BSI,Mua,14.00
abt,15/10/2024,SADIF,Mua,43.57
com,12/04/2024,SADIF,Mua,46.57
bce,19/08/2024,SADIF,Mua,9.65
bmc,28/11/2024,SADIF,Mua,21.38
c32,16/09/2024,SADIF,Mua,23.11
c47,12/06/2024,SADIF,Giữ,9.58
cmv,10/04/2024,SADIF,Giữ,8.80
aam,01/08/2024,SADIF,Giữ,9.56
